Model,Mean Error,Anomaly Percentage,Anomaly Threshold
Linear_TestNumber106_Completeness1_SequenceLength864_Horizon1_WindowSize1.pt,0.5038513499642163,0.1169077889814409,1.8
Linear_TestNumber113_Completeness1_SequenceLength864_Horizon3_WindowSize1.pt,0.9721885526687568,0.058470983774302,3.2
Linear_TestNumber120_Completeness1_SequenceLength864_Horizon6_WindowSize1.pt,1.834997577823454,0.0,6.0
Linear_TestNumber127_Completeness1_SequenceLength864_Horizon12_WindowSize1.pt,3.1132300443247156,0.0,10.0
Linear_TestNumber134_Completeness1_SequenceLength864_Horizon24_WindowSize1.pt,2.031145020307787,0.0,6.7
Linear_TestNumber141_Completeness0.95_SequenceLength1288_Horizon1_WindowSize1.pt,0.306189555019173,0.29226947245360224,1.3
Linear_TestNumber148_Completeness0.95_SequenceLength1288_Horizon3_WindowSize1.pt,0.844887456980514,0.08770647566145301,2.9
Linear_TestNumber155_Completeness0.95_SequenceLength1288_Horizon6_WindowSize1.pt,0.37903840910712516,0.7164790174002047,1.8
Linear_TestNumber15_Completeness1_SequenceLength216_Horizon6_WindowSize1.pt,2.475500123936619,0.0,8.1
Linear_TestNumber162_Completeness0.95_SequenceLength1288_Horizon12_WindowSize1.pt,1.108505773237446,0.0,4.1
Linear_TestNumber169_Completeness0.95_SequenceLength1288_Horizon24_WindowSize1.pt,1.1798319527623136,0.0,4.4
Linear_TestNumber176_Completeness0.95_SequenceLength2576_Horizon1_WindowSize1.pt,0.38805738445256593,0.04384042086804033,1.7
Linear_TestNumber183_Completeness0.95_SequenceLength2576_Horizon3_WindowSize1.pt,0.24942809268041394,0.87706475661453,1.2
Linear_TestNumber190_Completeness0.95_SequenceLength2576_Horizon6_WindowSize1.pt,0.47462167577994097,0.541014768240971,2.1
Linear_TestNumber197_Completeness0.95_SequenceLength2576_Horizon12_WindowSize1.pt,1.0835112377168212,0.0,4.0
Linear_TestNumber1_Completeness1_SequenceLength216_Horizon1_WindowSize1.pt,0.5309576595266872,0.04384042086804033,1.9
Linear_TestNumber204_Completeness0.95_SequenceLength2576_Horizon24_WindowSize1.pt,1.4712563528131073,0.0,5.3
Linear_TestNumber211_Completeness0.95_SequenceLength3864_Horizon1_WindowSize1.pt,0.6392100988385784,0.0,2.4
Linear_TestNumber218_Completeness0.95_SequenceLength3864_Horizon3_WindowSize1.pt,0.3140588544345123,0.5993275836865956,1.5
Linear_TestNumber225_Completeness0.95_SequenceLength3864_Horizon6_WindowSize1.pt,0.46677902113030745,0.5556367890042404,2.1
