Model,Model Number,Completeness,Sequence Length,Horizon,Window Size,MAE,Anomaly Percentage,Anomaly Threshold
Linear,1,1,216,1,1,0.53,0.000,2.6
LSTM,2,1,216,1,3,0.76,0.000,5.8
LSTM,3,1,216,1,6,1.04,0.000,8.2
LSTM,4,1,216,1,12,0.78,0.000,3.8
LSTM,5,1,216,1,24,0.59,0.000,3.5
LSTM,6,1,216,1,48,0.55,0.103,5.4
LSTM,7,1,216,1,96,0.62,0.000,4.8
Linear,8,1,216,3,1,1.20,0.000,5.4
LSTM,9,1,216,3,3,1.08,0.000,7.6
LSTM,10,1,216,3,6,0.55,0.000,5.1
LSTM,11,1,216,3,12,1.38,0.000,10.2
LSTM,12,1,216,3,24,0.53,0.337,4
LSTM,13,1,216,3,48,0.50,0.250,4
LSTM,14,1,216,3,96,0.51,0.000,4.6
Linear,15,1,216,6,1,2.48,0.000,10.9
LSTM,16,1,216,6,3,1.27,0.000,9.8
LSTM,17,1,216,6,6,0.91,0.000,6.7
LSTM,18,1,216,6,12,1.45,0.000,10.2
LSTM,19,1,216,6,24,0.86,0.103,5.8
LSTM,20,1,216,6,48,0.83,0.000,7.1
LSTM,21,1,216,6,96,1.36,0.000,10.9
Linear,22,1,216,12,1,3.01,0.000,13
LSTM,23,1,216,12,3,0.63,0.000,3.6
LSTM,24,1,216,12,6,1.99,0.000,11.7
LSTM,25,1,216,12,12,0.98,0.000,6
LSTM,26,1,216,12,24,1.16,0.000,7.2
LSTM,27,1,216,12,48,0.62,0.015,3.9
LSTM,28,1,216,12,96,0.80,0.000,6
Linear,29,1,216,24,1,1.34,0.000,6.4
LSTM,30,1,216,24,3,1.26,0.000,8.2
LSTM,31,1,216,24,6,1.06,0.000,6.1
LSTM,32,1,216,24,12,0.99,0.000,5.7
LSTM,33,1,216,24,24,0.74,0.000,4.8
LSTM,34,1,216,24,48,0.48,0.000,3.5
LSTM,35,1,216,24,96,0.47,0.000,4
Linear,36,1,432,1,1,0.43,0.000,2
LSTM,37,1,432,1,3,1.40,0.000,12.2
LSTM,38,1,432,1,6,1.84,0.000,14
LSTM,39,1,432,1,12,0.78,0.000,5.9
LSTM,40,1,432,1,24,0.79,0.000,6.9
LSTM,41,1,432,1,48,0.52,0.015,3.7
LSTM,42,1,432,1,96,0.30,0.074,2.7
Linear,43,1,432,3,1,0.91,0.000,4.2
LSTM,44,1,432,3,3,0.77,0.000,4.3
LSTM,45,1,432,3,6,0.89,0.000,8.4
LSTM,46,1,432,3,12,0.60,0.000,3.9
LSTM,47,1,432,3,24,0.63,0.000,3.8
LSTM,48,1,432,3,48,1.08,0.000,10
LSTM,49,1,432,3,96,0.47,0.015,3.4
Linear,50,1,432,6,1,2.15,0.000,9.5
LSTM,51,1,432,6,3,0.87,0.000,5.8
LSTM,52,1,432,6,6,1.54,0.000,10.2
LSTM,53,1,432,6,12,1.10,0.000,8
LSTM,54,1,432,6,24,0.82,0.015,6
LSTM,55,1,432,6,48,0.69,0.000,3.8
LSTM,56,1,432,6,96,0.69,0.000,6.4
Linear,57,1,432,12,1,2.89,0.000,12.8
LSTM,58,1,432,12,3,0.82,0.000,5.2
LSTM,59,1,432,12,6,0.74,0.000,4.7
LSTM,60,1,432,12,12,1.20,0.000,9.5
LSTM,61,1,432,12,24,1.12,0.000,7.3
LSTM,62,1,432,12,48,1.03,0.029,5.1
LSTM,63,1,432,12,96,0.53,0.000,4.1
Linear,64,1,432,24,1,1.94,0.000,8.7
LSTM,65,1,432,24,3,1.26,0.000,8.8
LSTM,66,1,432,24,6,0.93,0.073,6.4
LSTM,67,1,432,24,12,0.88,0.015,5.5
LSTM,68,1,432,24,24,0.99,0.000,5.3
LSTM,69,1,432,24,48,0.54,0.000,3.6
LSTM,70,1,432,24,96,0.65,0.000,4
Linear,71,1,648,1,1,0.57,0.000,2.6
LSTM,72,1,648,1,3,0.55,0.000,3.8
LSTM,73,1,648,1,6,2.11,0.000,14.6
LSTM,74,1,648,1,12,0.70,0.000,4.7
LSTM,75,1,648,1,24,1.33,0.000,11.6
LSTM,76,1,648,1,48,0.58,0.000,4.2
LSTM,77,1,648,1,96,0.25,0.059,1.9
