Parameters,Runtime (s)
Completeness_1_WindowSize_3_Horizon_3,3.9927124000387266
Completeness_1_WindowSize_3_Horizon_6,4.087985799997114
Completeness_1_WindowSize_3_Horizon_12,4.184160300064832
Completeness_1_WindowSize_3_Horizon_24,4.085701499949209
Completeness_1_WindowSize_3_Horizon_48,4.2155095000052825
Completeness_1_WindowSize_3_Horizon_96,3.599233299959451
Completeness_1_WindowSize_6_Horizon_3,4.560124300071038
Completeness_1_WindowSize_6_Horizon_6,5.183180099935271
Completeness_1_WindowSize_6_Horizon_12,6.466932800016366
Completeness_1_WindowSize_6_Horizon_24,5.305114999995567
Completeness_1_WindowSize_6_Horizon_48,4.493894499959424
Completeness_1_WindowSize_6_Horizon_96,4.1138329999521375
Completeness_1_WindowSize_12_Horizon_3,6.716015000012703
Completeness_1_WindowSize_12_Horizon_6,7.296957300044596
Completeness_1_WindowSize_12_Horizon_12,6.616550000035204
Completeness_1_WindowSize_12_Horizon_24,6.655238600098528
Completeness_1_WindowSize_12_Horizon_48,6.49619790003635
Completeness_1_WindowSize_12_Horizon_96,6.365374100045301
Completeness_1_WindowSize_24_Horizon_3,10.429094099905342
Completeness_1_WindowSize_24_Horizon_6,10.38539299997501
Completeness_1_WindowSize_24_Horizon_12,11.174635900068097
Completeness_1_WindowSize_24_Horizon_24,9.680292800068855
Completeness_1_WindowSize_24_Horizon_48,9.626266200095415
Completeness_1_WindowSize_24_Horizon_96,8.618275900022127
Completeness_1_WindowSize_48_Horizon_3,14.617317900061607
Completeness_1_WindowSize_48_Horizon_6,14.76114509999752
Completeness_1_WindowSize_48_Horizon_12,15.43905360007193
Completeness_1_WindowSize_48_Horizon_24,15.207118800026365
Completeness_1_WindowSize_48_Horizon_48,14.376757799996994
Completeness_1_WindowSize_48_Horizon_96,13.28674150002189
Completeness_1_WindowSize_96_Horizon_3,25.208209799951874
Completeness_1_WindowSize_96_Horizon_6,25.48597899999004
Completeness_1_WindowSize_96_Horizon_12,25.594110500067472
Completeness_1_WindowSize_96_Horizon_24,25.437078599934466
Completeness_1_WindowSize_96_Horizon_48,23.40676139993593
Completeness_1_WindowSize_96_Horizon_96,22.88370899995789
Completeness_1_WindowSize_192_Horizon_3,46.37459709995892
Completeness_1_WindowSize_192_Horizon_6,45.78424690000247
Completeness_1_WindowSize_192_Horizon_12,47.84001060004812
Completeness_1_WindowSize_192_Horizon_24,45.822174299973994
Completeness_1_WindowSize_192_Horizon_48,45.12861419992987
Completeness_1_WindowSize_192_Horizon_96,40.63376070000231
Completeness_0.98_WindowSize_3_Horizon_3,13.09474119998049
Completeness_0.98_WindowSize_3_Horizon_6,12.98122209997382
Completeness_0.98_WindowSize_3_Horizon_12,12.766270100022666
Completeness_0.98_WindowSize_3_Horizon_24,13.17968890001066
Completeness_0.98_WindowSize_3_Horizon_48,13.17736829991918
Completeness_0.98_WindowSize_3_Horizon_96,12.648505800054409
Completeness_0.98_WindowSize_6_Horizon_3,14.673493099980988
