Model,Model Number,Completeness,Sequence,Horizon,WindowSize,MAE,Anomaly Percentage,Anomaly Threshold
Linear,1,1,216,3,1,0.26,0.234,1.9
LSTM,2,1,216,3,3,0.27,0.161,2.1
LSTM,3,1,216,3,6,0.33,0.044,2.9
LSTM,4,1,216,3,12,0.36,0.644,3.8
LSTM,5,1,216,3,24,0.39,0.029,3.2
LSTM,6,1,216,3,48,0.28,0.103,2.3
LSTM,7,1,216,3,96,0.30,0.044,2.6
Linear,8,1,216,6,1,0.43,0.000,2.9
LSTM,9,1,216,6,3,0.46,0.000,3.6
LSTM,10,1,216,6,6,0.48,0.000,3.6
LSTM,11,1,216,6,12,0.53,0.015,4.2
LSTM,12,1,216,6,24,0.77,0.000,4.8
LSTM,13,1,216,6,48,0.55,0.000,4
LSTM,14,1,216,6,96,0.58,0.000,4.9
Linear,15,1,216,12,1,0.65,0.000,4.1
LSTM,16,1,216,12,3,0.66,0.000,4.4
LSTM,17,1,216,12,6,0.69,0.000,4.6
LSTM,18,1,216,12,12,0.69,0.000,4.4
LSTM,19,1,216,12,24,0.67,0.000,4.5
LSTM,20,1,216,12,48,0.65,0.000,4.2
LSTM,21,1,216,12,96,0.71,0.000,4.2
Linear,22,1,216,24,1,0.77,0.000,4.8
LSTM,23,1,216,24,3,0.78,0.000,4.8
LSTM,24,1,216,24,6,1.22,0.000,12.8
LSTM,25,1,216,24,12,0.66,0.000,4.5
LSTM,26,1,216,24,24,0.79,0.015,4.9
LSTM,27,1,216,24,48,0.58,0.000,4
LSTM,28,1,216,24,96,0.82,0.000,4.9
Linear,29,1,432,3,1,0.26,0.234,1.9
LSTM,30,1,432,3,3,0.27,0.073,2.2
LSTM,31,1,432,3,6,0.31,0.015,2.5
LSTM,32,1,432,3,12,0.35,0.117,3.2
LSTM,33,1,432,3,24,0.35,0.000,2.8
LSTM,34,1,432,3,48,0.27,0.044,2.2
LSTM,35,1,432,3,96,0.68,0.000,5
Linear,36,1,432,6,1,0.43,0.000,2.9
LSTM,37,1,432,6,3,0.49,0.000,3.9
LSTM,38,1,432,6,6,0.49,0.000,3.5
LSTM,39,1,432,6,12,0.50,0.059,3.9
LSTM,40,1,432,6,24,0.53,0.044,4.3
LSTM,41,1,432,6,48,0.72,0.015,5.1
LSTM,42,1,432,6,96,0.52,0.680,5.5
Linear,43,1,432,12,1,0.65,0.000,4.1
LSTM,44,1,432,12,3,0.68,0.000,4.7
LSTM,45,1,432,12,6,0.67,0.000,4.6
LSTM,46,1,432,12,12,0.67,0.000,4.7
LSTM,47,1,432,12,24,0.60,0.000,4.2
LSTM,48,1,432,12,48,0.65,0.000,4.7
LSTM,49,1,432,12,96,0.73,0.178,4.5
Linear,50,1,432,24,1,0.77,0.000,4.8
LSTM,51,1,432,24,3,0.78,0.000,4.8
