dt,value,veh_class,dir,location,category
2023-01-01 00:00:00,2,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 00:00:00,14,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 00:00:00,19,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2023-01-01 00:00:00,2,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 00:00:00,8,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 00:00:00,26,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2023-01-01 00:15:00,1,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2023-01-01 00:15:00,1,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2023-01-01 00:15:00,3,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 00:15:00,8,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 00:15:00,16,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2023-01-01 00:15:00,0,person,north_to_south,NclNorthumberlandStThePearl,flow
2023-01-01 00:15:00,24,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 00:15:00,48,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 00:15:00,78,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2023-01-01 00:15:00,1,person,south_to_north,NclNorthumberlandStThePearl,flow
2023-01-01 00:30:00,3,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2023-01-01 00:30:00,7,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 00:30:00,14,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 00:30:00,22,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2023-01-01 00:30:00,0,person,north_to_south,NclNorthumberlandStThePearl,flow
2023-01-01 00:30:00,28,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 00:30:00,54,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 00:30:00,91,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2023-01-01 00:30:00,1,person,south_to_north,NclNorthumberlandStThePearl,flow
2023-01-01 00:45:00,14,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 00:45:00,16,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 00:45:00,17,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2023-01-01 00:45:00,1,person,north_to_south,NclNorthumberlandStThePearl,flow
2023-01-01 00:45:00,30,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 00:45:00,58,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 00:45:00,64,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2023-01-01 00:45:00,1,person,south_to_north,NclNorthumberlandStThePearl,flow
2023-01-01 01:00:00,22,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 01:00:00,21,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 01:00:00,21,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2023-01-01 01:00:00,30,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 01:00:00,48,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 01:00:00,32,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2023-01-01 01:15:00,2,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2023-01-01 01:15:00,41,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 01:15:00,62,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 01:15:00,35,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2023-01-01 01:15:00,2,person,north_to_south,NclNorthumberlandStThePearl,flow
2023-01-01 01:15:00,40,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 01:15:00,48,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 01:15:00,85,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2023-01-01 01:15:00,2,person,south_to_north,NclNorthumberlandStThePearl,flow
2023-01-01 01:30:00,23,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 01:30:00,29,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 01:30:00,29,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2023-01-01 01:30:00,0,person,north_to_south,NclNorthumberlandStThePearl,flow
2023-01-01 01:30:00,39,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 01:30:00,26,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 01:30:00,73,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2023-01-01 01:30:00,1,person,south_to_north,NclNorthumberlandStThePearl,flow
2023-01-01 01:45:00,2,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2023-01-01 01:45:00,20,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 01:45:00,20,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 01:45:00,11,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2023-01-01 01:45:00,31,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 01:45:00,31,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 01:45:00,39,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2023-01-01 02:00:00,6,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 02:00:00,12,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2023-01-01 02:00:00,6,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2023-01-01 02:00:00,0,person,north_to_south,NclNorthumberlandStThePearl,flow
2023-01-01 02:00:00,46,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2023-01-01 02:00:00,51,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
