,dt,value,veh_class,dir,location,category,key,date,time,hour-minutes,year-month-day-hour,year-month-hour,month-hour,year-month,day_of_week-hour-minutes,year-week,hours_since_midnight,minutes_since_midnight,year-quarter,month,quarter,day_in_week,day_of_week
10103,2021-12-29 14:00:00,1898,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-29,1900-01-01 14:00:00,14:00,2021-12-29 14,2021-12 14,12 14,2021-12,Wednesday 14:00,2021-52,14,840,2021-4,12,4,2,Wednesday
10111,2021-12-29 15:00:00,1672,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-29,1900-01-01 15:00:00,15:00,2021-12-29 15,2021-12 15,12 15,2021-12,Wednesday 15:00,2021-52,15,900,2021-4,12,4,2,Wednesday
10101,2021-12-29 14:00:00,1649,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-29,1900-01-01 14:00:00,14:00,2021-12-29 14,2021-12 14,12 14,2021-12,Wednesday 14:00,2021-52,14,840,2021-4,12,4,2,Wednesday
10361,2021-12-31 14:00:00,1531,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-31,1900-01-01 14:00:00,14:00,2021-12-31 14,2021-12 14,12 14,2021-12,Friday 14:00,2021-52,14,840,2021-4,12,4,4,Friday
10109,2021-12-29 15:00:00,1529,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-29,1900-01-01 15:00:00,15:00,2021-12-29 15,2021-12 15,12 15,2021-12,Wednesday 15:00,2021-52,15,900,2021-4,12,4,2,Wednesday
9989,2021-12-28 16:00:00,1504,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-28,1900-01-01 16:00:00,16:00,2021-12-28 16,2021-12 16,12 16,2021-12,Tuesday 16:00,2021-52,16,960,2021-4,12,4,1,Tuesday
9987,2021-12-28 16:00:00,1423,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-28,1900-01-01 16:00:00,16:00,2021-12-28 16,2021-12 16,12 16,2021-12,Tuesday 16:00,2021-52,16,960,2021-4,12,4,1,Tuesday
10222,2021-12-30 12:00:00,1420,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-30,1900-01-01 12:00:00,12:00,2021-12-30 12,2021-12 12,12 12,2021-12,Thursday 12:00,2021-52,12,720,2021-4,12,4,3,Thursday
10349,2021-12-31 12:00:00,1344,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-31,1900-01-01 12:00:00,12:00,2021-12-31 12,2021-12 12,12 12,2021-12,Friday 12:00,2021-52,12,720,2021-4,12,4,4,Friday
10234,2021-12-30 14:00:00,1287,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-30,1900-01-01 14:00:00,14:00,2021-12-30 14,2021-12 14,12 14,2021-12,Thursday 14:00,2021-52,14,840,2021-4,12,4,3,Thursday
