,dt,value,veh_class,location,category,key,date,time,hour-minutes,year-month-day-hour,year-month-hour,month-hour,year-month,day_of_week-hour-minutes,year-week,hours_since_midnight,minutes_since_midnight,year-quarter,month,quarter,day_in_week,day_of_week
1967,2021-12-29 14:00:00,3547,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-29,1900-01-01 14:00:00,14:00,2021-12-29 14,2021-12 14,12 14,2021-12,Wednesday 14:00,2021-52,14,840,2021-4,12,4,2,Wednesday
1968,2021-12-29 15:00:00,3201,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-29,1900-01-01 15:00:00,15:00,2021-12-29 15,2021-12 15,12 15,2021-12,Wednesday 15:00,2021-52,15,900,2021-4,12,4,2,Wednesday
1954,2021-12-28 16:00:00,2927,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-28,1900-01-01 16:00:00,16:00,2021-12-28 16,2021-12 16,12 16,2021-12,Tuesday 16:00,2021-52,16,960,2021-4,12,4,1,Tuesday
1994,2021-12-31 14:00:00,2780,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-31,1900-01-01 14:00:00,14:00,2021-12-31 14,2021-12 14,12 14,2021-12,Friday 14:00,2021-52,14,840,2021-4,12,4,4,Friday
1980,2021-12-30 12:00:00,2582,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-30,1900-01-01 12:00:00,12:00,2021-12-30 12,2021-12 12,12 12,2021-12,Thursday 12:00,2021-52,12,720,2021-4,12,4,3,Thursday
1993,2021-12-31 12:00:00,2445,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-31,1900-01-01 12:00:00,12:00,2021-12-31 12,2021-12 12,12 12,2021-12,Friday 12:00,2021-52,12,720,2021-4,12,4,4,Friday
1969,2021-12-29 16:00:00,2410,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-29,1900-01-01 16:00:00,16:00,2021-12-29 16,2021-12 16,12 16,2021-12,Wednesday 16:00,2021-52,16,960,2021-4,12,4,2,Wednesday
1981,2021-12-30 14:00:00,2393,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-30,1900-01-01 14:00:00,14:00,2021-12-30 14,2021-12 14,12 14,2021-12,Thursday 14:00,2021-52,14,840,2021-4,12,4,3,Thursday
1982,2021-12-30 16:00:00,2295,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-30,1900-01-01 16:00:00,16:00,2021-12-30 16,2021-12 16,12 16,2021-12,Thursday 16:00,2021-52,16,960,2021-4,12,4,3,Thursday
1966,2021-12-29 12:00:00,2230,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-29,1900-01-01 12:00:00,12:00,2021-12-29 12,2021-12 12,12 12,2021-12,Wednesday 12:00,2021-52,12,720,2021-4,12,4,2,Wednesday
1953,2021-12-28 14:00:00,2201,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-28,1900-01-01 14:00:00,14:00,2021-12-28 14,2021-12 14,12 14,2021-12,Tuesday 14:00,2021-52,14,840,2021-4,12,4,1,Tuesday
1955,2021-12-28 17:00:00,1867,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-28,1900-01-01 17:00:00,17:00,2021-12-28 17,2021-12 17,12 17,2021-12,Tuesday 17:00,2021-52,17,1020,2021-4,12,4,1,Tuesday
1047,2021-12-18 19:00:00,1861,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-18,1900-01-01 19:00:00,19:00,2021-12-18 19,2021-12 19,12 19,2021-12,Saturday 19:00,2021-50,19,1140,2021-4,12,4,5,Saturday
29950,2022-12-16 13:30:00,1757,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-16,1900-01-01 13:30:00,13:30,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:30,2022-50,13,810,2022-4,12,4,4,Friday
29949,2022-12-16 13:15:00,1715,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-16,1900-01-01 13:15:00,13:15,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:15,2022-50,13,795,2022-4,12,4,4,Friday
1970,2021-12-29 17:00:00,1701,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-29,1900-01-01 17:00:00,17:00,2021-12-29 17,2021-12 17,12 17,2021-12,Wednesday 17:00,2021-52,17,1020,2021-4,12,4,2,Wednesday
5688,2022-02-09 13:15:00,1659,person,NclNorthumberlandStSavilleRowEast,flow,2022-02,2022-02-09,1900-01-01 13:15:00,13:15,2022-02-09 13,2022-02 13,02 13,2022-02,Wednesday 13:15,2022-06,13,795,2022-1,2,1,2,Wednesday
1979,2021-12-30 11:00:00,1650,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-30,1900-01-01 11:00:00,11:00,2021-12-30 11,2021-12 11,12 11,2021-12,Thursday 11:00,2021-52,11,660,2021-4,12,4,3,Thursday
29948,2022-12-16 13:00:00,1543,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-16,1900-01-01 13:00:00,13:00,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:00,2022-50,13,780,2022-4,12,4,4,Friday
181,2021-12-04 13:45:00,1354,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 13:45:00,13:45,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:45,2021-48,13,825,2021-4,12,4,5,Saturday
30055,2022-12-17 15:45:00,1346,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 15:45:00,15:45,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:45,2022-50,15,945,2022-4,12,4,5,Saturday
5687,2022-02-09 13:00:00,1325,person,NclNorthumberlandStSavilleRowEast,flow,2022-02,2022-02-09,1900-01-01 13:00:00,13:00,2022-02-09 13,2022-02 13,02 13,2022-02,Wednesday 13:00,2022-06,13,780,2022-1,2,1,2,Wednesday
26627,2022-11-10 13:15:00,1312,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-10,1900-01-01 13:15:00,13:15,2022-11-10 13,2022-11 13,11 13,2022-11,Thursday 13:15,2022-45,13,795,2022-4,11,4,3,Thursday
1978,2021-12-30 10:00:00,1288,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-30,1900-01-01 10:00:00,10:00,2021-12-30 10,2021-12 10,12 10,2021-12,Thursday 10:00,2021-52,10,600,2021-4,12,4,3,Thursday
28055,2022-11-26 15:30:00,1284,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 15:30:00,15:30,2022-11-26 15,2022-11 15,11 15,2022-11,Saturday 15:30,2022-47,15,930,2022-4,11,4,5,Saturday
30051,2022-12-17 14:45:00,1246,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 14:45:00,14:45,2022-12-17 14,2022-12 14,12 14,2022-12,Saturday 14:45,2022-50,14,885,2022-4,12,4,5,Saturday
179,2021-12-04 13:15:00,1240,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 13:15:00,13:15,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:15,2021-48,13,795,2021-4,12,4,5,Saturday
26626,2022-11-10 13:00:00,1238,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-10,1900-01-01 13:00:00,13:00,2022-11-10 13,2022-11 13,11 13,2022-11,Thursday 13:00,2022-45,13,780,2022-4,11,4,3,Thursday
1216,2021-12-20 13:30:00,1236,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-20,1900-01-01 13:30:00,13:30,2021-12-20 13,2021-12 13,12 13,2021-12,Monday 13:30,2021-51,13,810,2021-4,12,4,0,Monday
30054,2022-12-17 15:30:00,1224,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 15:30:00,15:30,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:30,2022-50,15,930,2022-4,12,4,5,Saturday
182,2021-12-04 14:00:00,1191,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 14:00:00,14:00,2021-12-04 14,2021-12 14,12 14,2021-12,Saturday 14:00,2021-48,14,840,2021-4,12,4,5,Saturday
30050,2022-12-17 14:30:00,1190,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 14:30:00,14:30,2022-12-17 14,2022-12 14,12 14,2022-12,Saturday 14:30,2022-50,14,870,2022-4,12,4,5,Saturday
183,2021-12-04 14:30:00,1181,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 14:30:00,14:30,2021-12-04 14,2021-12 14,12 14,2021-12,Saturday 14:30,2021-48,14,870,2021-4,12,4,5,Saturday
30053,2022-12-17 15:15:00,1179,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 15:15:00,15:15,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:15,2022-50,15,915,2022-4,12,4,5,Saturday
194,2021-12-04 17:15:00,1175,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 17:15:00,17:15,2021-12-04 17,2021-12 17,12 17,2021-12,Saturday 17:15,2021-48,17,1035,2021-4,12,4,5,Saturday
188,2021-12-04 15:45:00,1171,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 15:45:00,15:45,2021-12-04 15,2021-12 15,12 15,2021-12,Saturday 15:45,2021-48,15,945,2021-4,12,4,5,Saturday
1859,2021-12-27 13:45:00,1167,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-27,1900-01-01 13:45:00,13:45,2021-12-27 13,2021-12 13,12 13,2021-12,Monday 13:45,2021-52,13,825,2021-4,12,4,0,Monday
28046,2022-11-26 13:15:00,1164,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 13:15:00,13:15,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:15,2022-47,13,795,2022-4,11,4,5,Saturday
29951,2022-12-16 13:45:00,1162,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-16,1900-01-01 13:45:00,13:45,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:45,2022-50,13,825,2022-4,12,4,4,Friday
28047,2022-11-26 13:30:00,1157,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 13:30:00,13:30,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:30,2022-47,13,810,2022-4,11,4,5,Saturday
178,2021-12-04 13:00:00,1156,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 13:00:00,13:00,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:00,2021-48,13,780,2021-4,12,4,5,Saturday
180,2021-12-04 13:30:00,1156,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 13:30:00,13:30,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:30,2021-48,13,810,2021-4,12,4,5,Saturday
